var1,user_id,age,gender,device_type,time_on_site,pages_viewed,previous_purchases,cart_items,discount_seen,ad_clicked,returning_user,avg_session_time,bounce_rate,purchase
0,1.0,42.0,Male,Mobile,22.57,12.0,5.0,6.0,1.0,0.0,0.0,17.05,40.91,1.0
1,2.0,21.0,Female,Mobile,8.35,1.0,1.0,1.0,1.0,1.0,0.0,,75.82,0.0
2,3.0,32.0,Male,Tablet,5.09,1.0,0.0,2.0,0.0,1.0,0.0,4.67,46.36,0.0
3,4.0,28.0,Male,,12.19,8.0,6.0,5.0,1.0,0.0,1.0,1.0,53.8,0.0
4,,24.0,Male,Mobile,14.66,7.0,12.0,8.0,1.0,0.0,0.0,,10.6,1.0
5,6.0,41.0,Male,Tablet,10.97,17.0,9.0,7.0,0.0,0.0,1.0,23.99,41.82,1.0
6,7.0,31.0,Female,Mobile,15.93,16.0,11.0,3.0,0.0,1.0,1.0,17.74,16.16,1.0
7,8.0,35.0,Female,Mobile,14.74,7.0,0.0,2.0,0.0,0.0,1.0,1.52,99.0,0.0
8,9.0,35.0,Male,Mobile,5.73,5.0,3.0,0.0,0.0,1.0,1.0,8.97,70.84,0.0
9,10.0,29.0,Female,Mobile,8.3,7.0,1.0,1.0,0.0,0.0,0.0,22.49,56.09,0.0
10,11.0,20.0,Female,Mobile,12.24,15.0,13.0,3.0,0.0,1.0,0.0,17.37,36.24,1.0
11,12.0,33.0,Female,Mobile,15.47,7.0,4.0,0.0,0.0,0.0,,8.39,93.27,0.0
12,13.0,43.0,Male,Mobile,11.43,5.0,6.0,2.0,1.0,,0.0,9.92,56.07,0.0
13,14.0,39.0,Female,Mobile,17.64,9.0,9.0,8.0,1.0,1.0,1.0,32.72,35.2,1.0
14,15.0,55.0,Male,Tablet,23.03,17.0,6.0,8.0,1.0,0.0,0.0,14.84,35.38,1.0
15,16.0,27.0,Male,Tablet,21.45,9.0,13.0,6.0,1.0,1.0,0.0,18.69,40.59,1.0
16,17.0,42.0,Female,Desktop,18.26,12.0,10.0,9.0,1.0,0.0,1.0,13.65,8.76,1.0
17,18.0,49.0,Female,Mobile,14.21,,7.0,2.0,0.0,0.0,1.0,18.08,75.99,0.0
18,19.0,44.0,Female,Desktop,9.13,11.0,7.0,4.0,1.0,1.0,1.0,14.92,45.89,1.0
19,20.0,32.0,Male,Mobile,24.46,10.0,8.0,8.0,1.0,1.0,0.0,12.01,21.78,1.0
20,21.0,53.0,Female,Desktop,4.48,4.0,7.0,0.0,0.0,1.0,1.0,15.27,99.0,0.0
21,22.0,45.0,Male,Mobile,25.77,14.0,8.0,6.0,1.0,1.0,1.0,19.22,29.57,1.0
22,23.0,27.0,Female,Mobile,18.98,11.0,7.0,2.0,0.0,0.0,1.0,12.63,52.0,1.0
23,24.0,18.0,Male,Desktop,28.13,17.0,10.0,0.0,0.0,1.0,1.0,11.01,63.14,1.0
24,25.0,27.0,Male,Mobile,21.03,10.0,5.0,4.0,1.0,1.0,1.0,23.21,33.93,1.0
25,26.0,18.0,Female,Mobile,9.28,1.0,5.0,1.0,0.0,0.0,1.0,1.29,,0.0
26,27.0,46.0,Female,Desktop,14.93,7.0,10.0,4.0,1.0,0.0,1.0,31.46,29.9,1.0
